Position,Observed RNAP Flux at position,Predicted log(TX/Txref) at position,Predicted TX at position [au]
59,1.0,-1.005369009022223,217.555353509518
60,1.0,-0.9201680915723669,189.249190726755
61,1.0,-1.5555543879738158,535.155092285873
62,1.0,-1.4266220261691662,433.383602185157
63,1.0,-1.5653562634326488,543.805945430969
64,1.0,-1.43868587288773,566.432427065611
65,1.0,-1.6083097232883188,8165.79588271447
66,2.307512825,-3.2943277974338274,9202.12665876121
67,66.59064434,-3.4745315077923724,12357.3111769961
68,4.594534973,-3.306768639362346,9391.33854672709
69,25.65151972,-3.4843333832512053,12557.0687534471
70,1.03058628,-3.337682246578665,9878.51794265792
71,1.941975129,-1.946358176350771,2858.14649282213
72,1.052448387,-1.8434384840330242,2415.23530870055
73,1.440893774,-1.9177065403941822,967.811675618368
74,1.3477575019999999,-1.8637962253706006,886.109243787071
75,1.6014454830000002,-1.8154113153231977,818.671193540065
76,3.1099660239999998,-1.826344176411896,833.445814844777
77,1.0466800090000001,-1.7750728278580004,766.388150016656
78,2.095630293,-1.4191690580730207,428.131416903041
79,1.287019666,-1.367897709519125,393.684674780495
80,1.287019666,-1.4640314880576795,460.73596401601
81,1.036632286,-1.0787791683177212,280.566986502311
82,1.079715556,-1.246919031957703,369.40341942667
83,1.5088934019999998,-1.0403256569022994,263.460265840376
84,1.244305456,-1.2318392235594984,335.30652271871
85,1.188229768,-1.3103309776898313,358.300169645424
86,1.212639063,-1.4652760089813839,461.674994757669
87,1.0,-1.292989198031896,348.277629023406
88,1.0,-1.4599980760420124,457.705731826036
89,1.0,-1.3235258100382603,366.118789971512
90,1.0,-0.9960985766864086,473.96864523967
91,1.0,-1.54626693550789,527.08526297132
92,1.244305456,-1.6669054026935268,2315.38902283058
93,1.0020967570000001,-1.5922603511224138,2049.21832072155
94,1.0,-1.6465476613559504,2239.5444015422
95,1.0,-1.604701193050933,2091.35384892022
96,1.212639063,-1.5143374463334744,2163.51380138534
97,1.0,-1.0133037071961244,263.333252314838
98,3.1099660239999998,-1.0796548641482246,293.527356247668
99,1.0,-1.0517572186115463,234.70852564992
100,3.1099660239999998,-1.1960110439297822,297.18168511175
101,1.0,-1.1575575325143603,279.061933617011
102,1.0,-1.156426546884495,278.546064818125
103,1.0,-1.1620814750338218,281.134980440543
104,1.244305456,-1.1503946235252132,275.81082729627
105,1.0,-1.162395479606081,281.279439809527
106,1.0,-1.168804398175318,284.244167553287
107,1.0,-1.374542290959956,421.241482730817
108,1.0,-1.390753084988026,432.562628407654
109,1.0,-1.4985198138263258,675.563624167093
110,1.027198329,-1.548283181540401,1162.13126603151
111,1.013342551,-1.564870970778426,1194.10056993153
112,1.004404034,-1.5350883491919718,1137.31346539668
113,3.1099660239999998,-1.5102066653349344,1091.94710460288
114,6.039476669,-1.4122816723132725,1071.92866033214
115,1.941975129,-1.4386713370101307,623.62678044029
116,1.059797585,-1.4307544376010732,615.601620116429
117,1.046777725,-1.3089547189607869,588.86267906082
118,1.6014454830000002,-1.2991920998466169,642.761363295307
119,1.440893774,-1.2324639476845614,315.443831712678
120,3.1099660239999998,-1.3944914032771996,642.975164304064
121,1.012064187,-1.4380834559392977,627.306672705876
122,1.3477575019999999,-1.4833228811339116,675.495997302037
123,1.941975129,-1.4731440104651234,664.340353972187
124,1.067213391,-1.4561792260171433,646.155516275132
125,1.064562911,-1.4731440104651234,467.656110599753
126,1.6014454830000002,-0.8172773345271654,197.182973399504
127,1.941975129,-2.0868070001133665,1276.25574440136
128,1.009879746,-2.039305603659022,1180.83085709631
129,1.3477575019999999,-2.0472225030680793,1196.22450882479
130,1.287019666,-2.0656952683558805,1232.92796303044
131,1.040526527,-2.0664492587757906,1234.44975299051
132,1.287019666,-1.2384639702200002,505.797361958583
133,1.013850586,-1.1511300738308257,276.142881696813
134,1.941975129,-1.16545589180912,282.691290877521
135,1.440893833,-1.0821399504090397,246.6697943267
136,1.347757539,-1.1345422845928006,268.749789417074
137,1.287019691,-0.7004199648737006,132.099665693428
138,1.075475716,-1.1251784045733781,264.664103537608
139,1.941975129,-1.030175611664689,226.566141776271
140,3.109967297,-1.1289483566729293,284.961980760991
141,1.128971827,-1.020373736205856,238.585489214782
142,1.2443054740000001,-1.0984117446665649,271.0756337553
143,3.1099660239999998,-1.4275788708528323,434.062551241054
144,1.0,-1.5067478649434065,494.08576986753
145,3.1099660239999998,-1.4575080281024897,466.318536807112
146,1.0,-1.5800314713379024,1467.1026298498
147,1.0,-1.4959615395179116,1278.58122760942
148,1.0,-4.188599702213523,39744.1814640281
149,3.1099660239999998,-4.166733980036126,38347.5687954846
